Department,Semester,Subject,Assessment Stage,Attendance,SPI,Study Hours,Backlogs,Mid1,Mid2,Expected Grade,Pass,Performance Category
Civil Engineering,8,Bridge Engineering,Before Mid-1,96.7,9.8,27.2,0,,,AA,1,Excellent
Information Technology,1,Environmental Sciences,After Mid-1,93.7,7.64,22.7,0,9.1,,AA,1,Excellent
Information Technology,1,Mathematics-1,After Mid-1,77.0,7.37,28.3,1,5.8,,BC,1,Good
Civil Engineering,6,Environmental Engineering,After Mid-1,65.4,4.9,15.8,6,1.7,,FF,0,At Risk
Information Technology,6,Data Warehousing & Mining,Before Mid-1,100.0,10.0,23.9,0,,,AA,1,Excellent
Mechanical Engineering,5,Internal Combustion Engines,After Mid-1,92.2,9.38,28.6,0,8.8,,AA,1,Excellent
Electrical Engineering,7,High Voltage Engineering,After Mid-2,60.8,6.5,21.9,0,6.2,12.7,BC,1,Good
Mechanical Engineering,7,Computer Aided Manufacturing (CAM),Before Mid-1,83.3,8.18,25.0,0,,,AB,1,Excellent
Computer Engineering,8,Internet of Things,After Mid-2,88.1,9.48,31.6,0,9.4,20.0,AA,1,Excellent
Mechanical Engineering,8,Automobile Engineering,After Mid-1,82.9,5.99,21.5,2,4.9,,CC,1,Average
Electrical Engineering,2,Engineering Graphics & Design,After Mid-2,79.4,7.02,20.4,4,4.8,11.1,CC,1,Average
Electronics & Communication,2,Environmental Sciences,Before Mid-1,75.9,5.8,23.7,3,,,CC,1,Average
Computer Engineering,8,Internet of Things,After Mid-2,96.5,9.75,26.5,0,9.5,18.2,AA,1,Excellent
Electronics & Communication,2,Mathematics-2,After Mid-1,81.9,6.58,23.7,3,4.9,,CD,1,Average
Civil Engineering,5,Hydrology & Water Resources Engg,After Mid-1,93.9,8.15,20.7,0,8.5,,AB,1,Excellent
Information Technology,6,Data Warehousing & Mining,After Mid-2,92.4,6.79,22.7,0,7.1,13.1,BB,1,Very Good
Computer Engineering,1,Physics,After Mid-1,86.8,7.25,18.9,0,5.6,,BC,1,Good
Electrical Engineering,2,Mathematics-2,Before Mid-1,89.5,7.26,26.5,0,,,BB,1,Very Good
Mechanical Engineering,2,Programming for Problem Solving,After Mid-1,81.2,5.49,21.9,1,5.8,,BC,1,Good
Computer Engineering,5,Analysis & Design of Algorithms,Before Mid-1,70.9,6.08,15.3,1,,,BC,1,Good
Electrical Engineering,2,Mathematics-2,After Mid-1,81.7,5.43,18.6,0,4.7,,CC,1,Average
Computer Engineering,2,English,After Mid-1,78.5,7.02,22.4,1,6.4,,BC,1,Good
Mechanical Engineering,1,Physics,Before Mid-1,81.5,6.91,21.3,1,,,CC,1,Average
Civil Engineering,8,Earthquake Engineering,After Mid-1,100.0,9.82,27.6,0,8.6,,AA,1,Excellent
Mechanical Engineering,7,Refrigeration & Air Conditioning,Before Mid-1,82.8,6.65,16.4,0,,,BC,1,Good
Information Technology,1,Engineering Graphics & Design,After Mid-1,76.1,6.03,18.4,1,5.3,,CC,1,Average
Mechanical Engineering,6,Operations Research,After Mid-2,74.1,6.13,14.9,1,5.0,8.7,CC,1,Average
Computer Engineering,1,Basic Electrical Engineering,Before Mid-1,72.7,6.77,25.3,3,,,CC,1,Average
Information Technology,7,Project-1,After Mid-2,86.6,7.0,23.2,0,5.7,12.3,BB,1,Very Good
Information Technology,1,Engineering Graphics & Design,After Mid-2,70.5,5.03,13.9,0,5.6,8.0,CC,1,Average
Civil Engineering,4,Concrete Technology,After Mid-2,77.4,6.13,22.0,0,5.5,15.1,BB,1,Very Good
Computer Engineering,1,Engineering Graphics & Design,After Mid-1,83.5,6.57,23.7,0,5.0,,BC,1,Good
Civil Engineering,6,Environmental Engineering,After Mid-2,87.1,5.43,19.7,0,5.3,11.1,BC,1,Good
Civil Engineering,8,Bridge Engineering,Before Mid-1,80.3,7.84,18.3,0,,,BC,1,Good
Electronics & Communication,4,Microprocessor & Interfacing,Before Mid-1,99.8,9.09,23.8,0,,,AB,1,Excellent
Computer Engineering,5,Cyber Security,After Mid-2,71.8,6.23,19.7,0,6.6,11.8,BC,1,Good
Computer Engineering,7,Compiler Design,After Mid-2,67.6,4.97,15.1,1,2.9,3.5,FF,0,At Risk
Mechanical Engineering,2,Workshop Practices,Before Mid-1,72.6,6.61,20.0,0,,,BB,1,Very Good
Information Technology,6,Mobile Computing,After Mid-1,86.2,7.37,23.2,0,7.6,,AB,1,Excellent
Computer Engineering,3,Database Management Systems,After Mid-2,76.1,6.45,16.7,1,5.4,10.6,CC,1,Average
Mechanical Engineering,6,Computer Aided Design (CAD),Before Mid-1,72.4,5.01,21.2,1,,,CC,1,Average
Civil Engineering,8,Construction Project Management,Before Mid-1,88.8,8.14,19.5,0,,,AA,1,Excellent
Information Technology,4,Database Management Systems,After Mid-1,87.9,8.31,24.2,0,7.9,,AB,1,Excellent
Information Technology,8,Distributed Systems,Before Mid-1,92.8,7.07,18.0,0,,,BB,1,Very Good
Electrical Engineering,8,Project-2,After Mid-1,75.9,8.26,23.5,0,8.8,,AB,1,Excellent
Computer Engineering,4,Principles of Economics & Management,After Mid-2,89.6,7.85,28.7,0,9.1,19.6,AA,1,Excellent
Electrical Engineering,1,Physics,After Mid-1,78.4,6.45,25.3,6,4.4,,FF,0,At Risk
Mechanical Engineering,4,Applied Thermodynamics,After Mid-1,86.3,5.08,19.8,1,4.0,,CC,1,Average
Civil Engineering,6,Foundation Engineering,After Mid-1,95.3,9.43,29.0,0,7.6,,AA,1,Excellent
Information Technology,6,Web Technology,Before Mid-1,76.7,5.76,11.7,0,,,BC,1,Good
Mechanical Engineering,4,Mechanical Measurement & Metrology,After Mid-2,93.5,7.38,21.8,2,5.4,11.4,BC,1,Good
Civil Engineering,1,Physics,After Mid-2,76.4,6.92,26.8,1,5.8,12.6,BC,1,Good
Electrical Engineering,7,Smart Grid Technology,Before Mid-1,82.5,7.59,21.4,0,,,AB,1,Excellent
Electronics & Communication,1,Basic Electrical Engineering,After Mid-2,90.3,6.9,21.0,0,6.1,13.4,BB,1,Very Good
Electrical Engineering,7,Project-1,Before Mid-1,70.8,7.1,20.0,0,,,BC,1,Good
Electronics & Communication,5,Integrated Circuits & Applications,Before Mid-1,85.7,7.68,26.3,0,,,BB,1,Very Good
Computer Engineering,4,Discrete Mathematics,After Mid-2,80.8,4.68,19.2,1,3.4,7.7,DD,1,At Risk
Civil Engineering,6,Environmental Engineering,After Mid-1,74.3,5.23,9.2,0,5.3,,CC,1,Average
Information Technology,3,Effective Technical Communication,After Mid-2,75.1,5.91,16.6,1,7.1,14.7,BC,1,Good
Civil Engineering,5,Structural Analysis-2,After Mid-2,80.7,8.29,14.8,0,7.3,14.7,BB,1,Very Good
Information Technology,6,Web Technology,After Mid-2,79.1,7.18,23.8,0,5.5,10.5,BC,1,Good
Mechanical Engineering,4,Manufacturing Processes-2,After Mid-1,86.8,7.59,23.5,0,7.6,,AB,1,Excellent
Electronics & Communication,3,Network Theory,After Mid-2,83.3,8.18,27.0,0,4.9,9.7,BC,1,Good
Information Technology,2,Physics,After Mid-2,96.5,8.32,29.6,0,7.7,15.1,AB,1,Excellent
Computer Engineering,2,Workshop/Manufacturing Practices,After Mid-1,82.9,7.01,22.8,0,6.7,,BB,1,Very Good
Civil Engineering,6,Foundation Engineering,Before Mid-1,78.4,5.47,15.5,0,,,CD,1,Average
Electrical Engineering,7,Smart Grid Technology,Before Mid-1,84.3,7.48,26.4,0,,,BB,1,Very Good
Computer Engineering,5,Analysis & Design of Algorithms,After Mid-2,88.6,8.65,17.3,0,6.5,13.6,BB,1,Very Good
Computer Engineering,2,Basic Electronics,After Mid-1,94.4,7.99,26.1,0,8.0,,AA,1,Excellent
Electronics & Communication,7,Satellite Communication,Before Mid-1,74.6,6.38,23.7,0,,,BB,1,Very Good
Computer Engineering,8,Artificial Intelligence,After Mid-1,89.2,6.45,17.4,3,4.8,,CD,1,Average
Computer Engineering,5,Analysis & Design of Algorithms,Before Mid-1,84.6,7.13,16.9,0,,,BC,1,Good
Electronics & Communication,6,Antenna & Wave Propagation,After Mid-2,86.5,6.23,19.6,0,4.9,7.7,CC,1,Average
Computer Engineering,1,Physics,Before Mid-1,80.6,8.64,21.6,0,,,BB,1,Very Good
Information Technology,3,Data Structures,After Mid-2,81.9,7.58,23.3,0,8.0,15.8,BB,1,Very Good
Mechanical Engineering,4,Manufacturing Processes-2,After Mid-2,96.6,7.49,15.0,0,7.7,13.0,AB,1,Excellent
Electrical Engineering,8,Renewable Energy Sources,After Mid-2,84.3,7.21,29.9,0,6.7,12.7,BB,1,Very Good
Civil Engineering,1,Basic Civil Engineering,After Mid-1,79.5,6.78,21.0,1,5.0,,BC,1,Good
Mechanical Engineering,5,Heat Transfer,After Mid-2,80.6,8.37,20.6,0,8.0,12.6,BB,1,Very Good
Civil Engineering,1,Mathematics-1,After Mid-1,88.1,7.11,20.6,0,7.7,,BB,1,Very Good
Electronics & Communication,7,Satellite Communication,After Mid-1,84.3,7.7,17.0,0,8.8,,AB,1,Excellent
Computer Engineering,5,Cyber Security,After Mid-1,77.2,5.25,10.7,0,4.3,,BC,1,Good
Computer Engineering,2,English,Before Mid-1,78.7,7.73,23.2,0,,,AB,1,Excellent
Mechanical Engineering,3,Material Science & Metallurgy,After Mid-1,84.1,6.47,14.5,1,7.0,,BC,1,Good
Mechanical Engineering,8,Renewable Energy Engineering,After Mid-1,81.3,6.53,18.3,1,5.9,,CC,1,Average
Computer Engineering,2,English,After Mid-1,94.9,7.9,24.7,1,8.0,,AB,1,Excellent
Mechanical Engineering,8,Renewable Energy Engineering,After Mid-2,79.7,8.37,27.7,0,7.7,18.5,AB,1,Excellent
Electronics & Communication,1,Physics,After Mid-2,92.8,7.8,26.9,2,7.4,14.4,BB,1,Very Good
Electronics & Communication,5,Integrated Circuits & Applications,Before Mid-1,70.1,5.35,19.7,0,,,CC,1,Average
Information Technology,8,Distributed Systems,After Mid-1,77.1,5.77,12.8,0,4.6,,CC,1,Average
Information Technology,6,Cyber Security & Laws,After Mid-1,77.3,5.55,19.0,0,5.1,,BC,1,Good
Information Technology,4,Operating System Concepts,After Mid-2,71.8,6.16,19.4,0,4.1,8.5,CC,1,Average
Civil Engineering,5,Soil Mechanics & Geotechnical Engg,Before Mid-1,80.8,6.18,22.7,2,,,CC,1,Average
Computer Engineering,2,Mathematics-2,Before Mid-1,88.0,6.21,23.4,1,,,CD,1,Average
Electronics & Communication,1,Basic Electronics,Before Mid-1,76.2,6.68,20.7,0,,,BC,1,Good
Civil Engineering,4,Transportation Engineering,Before Mid-1,77.9,5.7,24.1,0,,,BC,1,Good
Civil Engineering,2,Programming for Problem Solving,After Mid-2,73.6,5.9,14.7,1,5.4,8.9,CC,1,Average
Mechanical Engineering,2,Programming for Problem Solving,After Mid-1,96.9,8.79,19.1,0,9.4,,AA,1,Excellent
Information Technology,8,Internet of Things,Before Mid-1,79.3,8.41,20.9,0,,,BB,1,Very Good
Computer Engineering,6,Web Technology,Before Mid-1,94.8,7.97,19.6,0,,,AB,1,Excellent
Electrical Engineering,2,Basic Electronics,After Mid-2,83.6,7.75,23.7,0,7.9,15.0,AB,1,Excellent
Computer Engineering,2,Workshop/Manufacturing Practices,After Mid-2,83.9,7.26,28.4,0,6.2,11.8,BB,1,Very Good
Computer Engineering,6,Advanced Java Programming,After Mid-2,91.6,6.17,26.4,0,6.9,13.9,BB,1,Very Good
Mechanical Engineering,6,Operations Research,Before Mid-1,77.3,4.39,8.9,1,,,FF,0,At Risk
Information Technology,4,Database Management Systems,After Mid-1,75.0,8.12,26.4,0,7.4,,AB,1,Excellent
Civil Engineering,5,Structural Analysis-2,After Mid-2,82.1,6.2,18.8,0,4.6,11.0,BC,1,Good
Electronics & Communication,3,Signals & Systems,After Mid-1,80.9,7.24,20.8,0,6.8,,BB,1,Very Good
Computer Engineering,5,Computer Networks,After Mid-1,75.9,6.86,19.2,0,6.8,,BB,1,Very Good
Computer Engineering,2,Basic Electronics,After Mid-2,68.7,5.06,9.1,2,3.6,5.5,FF,0,At Risk
Electronics & Communication,7,Microwave Engineering,Before Mid-1,77.6,4.88,12.7,3,,,FF,0,At Risk
Electronics & Communication,2,Engineering Graphics & Design,After Mid-1,72.2,6.28,17.7,1,6.2,,BC,1,Good
Mechanical Engineering,5,Heat Transfer,After Mid-2,95.6,9.1,23.5,0,8.4,13.7,AB,1,Excellent
Electrical Engineering,7,Project-1,Before Mid-1,79.9,7.77,27.9,0,,,AB,1,Excellent
Civil Engineering,4,Transportation Engineering,After Mid-1,82.2,6.76,17.6,2,7.3,,BC,1,Good
Civil Engineering,7,Irrigation Engineering,After Mid-1,99.7,7.9,20.6,2,7.4,,BB,1,Very Good
Electronics & Communication,6,VLSI Design,After Mid-2,89.7,7.17,20.1,0,8.0,13.0,BB,1,Very Good
Computer Engineering,4,Principles of Economics & Management,Before Mid-1,81.8,7.51,22.3,0,,,AB,1,Excellent
Mechanical Engineering,6,Design of Machine Elements,Before Mid-1,83.0,5.46,17.9,0,,,CC,1,Average
Electronics & Communication,1,Basic Electrical Engineering,After Mid-1,72.7,5.86,17.6,1,5.4,,CC,1,Average
Electrical Engineering,5,Electrical Machines-2,After Mid-2,78.4,6.5,19.3,0,4.3,10.3,CC,1,Average
Mechanical Engineering,7,Project-1,After Mid-2,85.6,6.83,22.8,0,6.5,14.1,BB,1,Very Good
Electrical Engineering,3,Electrical Circuit Analysis,After Mid-2,90.1,6.41,8.8,0,6.3,9.9,BC,1,Good
Computer Engineering,2,Workshop/Manufacturing Practices,After Mid-2,71.8,7.24,23.0,1,6.3,13.3,BB,1,Very Good
Mechanical Engineering,7,Computer Aided Manufacturing (CAM),Before Mid-1,66.9,6.6,24.6,0,,,BC,1,Good
Computer Engineering,1,Engineering Graphics & Design,After Mid-2,79.7,6.95,24.7,0,6.9,15.3,BB,1,Very Good
Civil Engineering,7,Highway & Traffic Engineering,After Mid-2,76.3,8.64,22.8,0,9.0,16.9,AB,1,Excellent
Electrical Engineering,3,Electrical Measurements & Instrumentation,After Mid-2,62.2,6.72,24.0,1,5.0,11.8,BC,1,Good
Information Technology,2,Mathematics-2,After Mid-2,89.9,6.99,24.0,0,6.7,12.9,BB,1,Very Good
Electronics & Communication,8,Optical Communication,After Mid-2,95.9,9.6,23.1,0,9.9,18.8,AA,1,Excellent
Information Technology,2,English,After Mid-1,88.1,5.31,23.8,0,5.9,,BC,1,Good
Civil Engineering,6,Environmental Engineering,After Mid-2,84.1,6.32,23.8,1,6.3,14.1,BC,1,Good
Information Technology,2,Basic Electronics,After Mid-1,89.8,5.75,19.5,2,5.8,,CC,1,Average
Mechanical Engineering,6,Computer Aided Design (CAD),Before Mid-1,75.8,4.36,14.2,2,,,DD,1,At Risk
Electronics & Communication,1,Physics,Before Mid-1,94.6,7.48,22.4,0,,,BB,1,Very Good
Computer Engineering,7,Cloud Computing,After Mid-1,91.7,6.95,25.5,0,7.0,,BB,1,Very Good
Information Technology,6,Web Technology,After Mid-2,99.9,8.03,23.4,0,8.5,17.7,AA,1,Excellent
Civil Engineering,2,Programming for Problem Solving,After Mid-1,93.3,8.43,27.5,0,8.3,,AB,1,Excellent
Computer Engineering,7,Information & Network Security,After Mid-1,67.4,6.44,22.9,1,4.7,,CC,1,Average
Information Technology,4,Database Management Systems,After Mid-2,62.5,7.22,12.3,0,7.6,12.7,BB,1,Very Good
Electronics & Communication,2,Engineering Graphics & Design,After Mid-2,78.1,7.59,19.8,0,6.8,11.7,BB,1,Very Good
Electrical Engineering,4,Electrical Machines-1,After Mid-1,74.6,6.32,24.3,0,5.7,,BC,1,Good
Electrical Engineering,7,Smart Grid Technology,After Mid-2,72.1,5.61,20.1,0,4.9,10.8,CC,1,Average
Computer Engineering,1,Basic Electrical Engineering,After Mid-1,81.6,7.81,24.3,2,8.1,,BB,1,Very Good
Information Technology,8,Project-2,After Mid-1,88.4,5.65,15.2,0,6.8,,BC,1,Good
Information Technology,8,Internet of Things,After Mid-2,90.6,8.8,26.9,0,9.3,20.0,AA,1,Excellent
Civil Engineering,3,Surveying,After Mid-1,100.0,9.42,28.9,0,9.1,,AA,1,Excellent
Information Technology,2,English,Before Mid-1,70.5,6.04,19.2,2,,,BC,1,Good
Computer Engineering,8,Big Data Analytics,After Mid-1,88.7,5.93,15.8,2,5.4,,CC,1,Average
Computer Engineering,6,Web Technology,Before Mid-1,100.0,7.07,21.5,0,,,BB,1,Very Good
Electrical Engineering,8,Power Quality & Management,After Mid-1,89.8,6.08,21.3,4,3.8,,FF,0,At Risk
Civil Engineering,8,Bridge Engineering,After Mid-2,90.1,7.0,16.5,0,5.8,10.1,BC,1,Good
Electrical Engineering,3,Analog Electronics,After Mid-1,78.0,5.16,15.4,1,5.6,,BC,1,Good
Electrical Engineering,5,Electrical Machines-2,After Mid-2,98.3,7.38,21.2,0,7.9,14.8,BB,1,Very Good
Civil Engineering,2,Environmental Sciences,After Mid-2,77.0,7.92,30.6,1,6.8,18.8,AB,1,Excellent
Electronics & Communication,5,Microcontroller & Applications,After Mid-1,86.3,6.61,14.0,0,7.5,,BB,1,Very Good
Electronics & Communication,6,Antenna & Wave Propagation,After Mid-1,82.7,6.45,15.3,2,6.0,,CC,1,Average
Electrical Engineering,5,Microprocessor & Microcontroller,Before Mid-1,84.7,5.63,12.1,0,,,BC,1,Good
Electrical Engineering,5,Electrical Power System-1,Before Mid-1,80.6,6.07,18.5,0,,,BC,1,Good
Computer Engineering,3,Digital Fundamentals,After Mid-1,72.4,7.36,25.0,0,6.9,,BB,1,Very Good
Electrical Engineering,7,Project-1,Before Mid-1,80.5,6.21,20.9,0,,,BC,1,Good
Mechanical Engineering,3,Manufacturing Processes-1,Before Mid-1,70.8,6.3,17.7,4,,,DD,1,At Risk
Electronics & Communication,6,VLSI Design,After Mid-2,85.8,6.66,13.7,0,5.3,10.8,BC,1,Good
Mechanical Engineering,3,Material Science & Metallurgy,After Mid-2,80.5,7.39,15.3,0,5.3,11.5,BC,1,Good
Information Technology,2,Physics,After Mid-2,73.1,4.18,21.9,4,2.2,3.1,FF,0,At Risk
Information Technology,2,Physics,After Mid-2,81.9,5.89,26.9,0,5.4,10.0,BC,1,Good
Electronics & Communication,5,Integrated Circuits & Applications,After Mid-1,85.7,7.82,23.5,0,6.1,,BB,1,Very Good
Electronics & Communication,1,Physics,After Mid-2,80.4,7.22,20.4,1,5.4,9.0,CC,1,Average
Computer Engineering,6,Theory of Computation,After Mid-2,75.7,4.01,18.3,4,1.0,0.3,FF,0,At Risk
Mechanical Engineering,5,Internal Combustion Engines,After Mid-1,84.5,8.83,22.9,0,7.7,,AA,1,Excellent
Computer Engineering,2,Workshop/Manufacturing Practices,Before Mid-1,79.5,5.47,13.5,1,,,CC,1,Average
Civil Engineering,4,Advanced Surveying,Before Mid-1,86.3,7.89,26.1,0,,,AA,1,Excellent
Mechanical Engineering,4,Mechanical Measurement & Metrology,After Mid-2,93.1,7.47,25.1,0,6.2,12.9,BB,1,Very Good
Mechanical Engineering,7,Project-1,After Mid-1,89.9,6.63,20.1,0,6.1,,BB,1,Very Good
Computer Engineering,2,English,Before Mid-1,86.6,6.95,20.4,0,,,BB,1,Very Good
Electrical Engineering,6,Power Electronics-1,After Mid-2,78.0,5.69,16.3,0,6.4,11.6,CC,1,Average
Information Technology,6,Web Technology,Before Mid-1,91.8,9.02,25.6,0,,,AB,1,Excellent
Computer Engineering,2,Basic Electronics,After Mid-2,83.7,7.58,24.2,1,7.7,13.8,BB,1,Very Good
Computer Engineering,5,Analysis & Design of Algorithms,Before Mid-1,87.4,8.19,28.0,0,,,BB,1,Very Good
Information Technology,7,Project-1,After Mid-1,80.0,7.73,24.1,0,6.7,,BB,1,Very Good
Electronics & Communication,5,Digital Communication,After Mid-2,79.1,7.85,23.3,0,6.1,13.6,BB,1,Very Good
Computer Engineering,6,Theory of Computation,After Mid-1,73.7,6.26,18.0,0,4.9,,BC,1,Good
Electronics & Communication,6,Antenna & Wave Propagation,Before Mid-1,92.6,8.53,19.1,0,,,AB,1,Excellent
Mechanical Engineering,6,Computer Aided Design (CAD),After Mid-1,94.8,9.67,24.0,0,10.0,,AA,1,Excellent
Computer Engineering,6,Web Technology,After Mid-1,69.4,7.23,22.7,0,7.9,,BB,1,Very Good
Civil Engineering,8,Construction Project Management,Before Mid-1,78.3,6.38,15.6,2,,,CC,1,Average
Electronics & Communication,1,Mathematics-1,Before Mid-1,73.5,5.39,18.0,1,,,CC,1,Average
Information Technology,2,Programming for Problem Solving,After Mid-2,91.3,7.1,20.3,0,6.5,11.3,BB,1,Very Good
Electronics & Communication,5,Digital Communication,After Mid-1,73.6,6.19,21.5,2,4.1,,CD,1,Average
Computer Engineering,1,Engineering Graphics & Design,Before Mid-1,74.2,6.49,27.6,0,,,BB,1,Very Good
Information Technology,6,Mobile Computing,After Mid-1,92.7,8.02,29.3,0,8.6,,AA,1,Excellent
Information Technology,8,Project-2,After Mid-1,69.6,8.64,26.7,0,8.8,,AA,1,Excellent
Civil Engineering,1,Basic Civil Engineering,After Mid-2,77.3,6.11,25.0,0,5.9,11.2,BC,1,Good
Computer Engineering,1,Mathematics-1,Before Mid-1,87.5,7.81,27.6,0,,,AB,1,Excellent
Information Technology,8,Project-2,After Mid-2,74.6,5.78,23.5,1,5.0,10.6,CC,1,Average
Civil Engineering,5,Structural Analysis-2,Before Mid-1,79.5,6.29,20.8,1,,,CC,1,Average
Information Technology,7,Mobile Application Development,Before Mid-1,92.3,9.5,24.0,0,,,AA,1,Excellent
Computer Engineering,5,Cyber Security,After Mid-2,96.9,8.05,23.8,0,8.6,16.7,AA,1,Excellent
Computer Engineering,6,Web Technology,Before Mid-1,88.3,7.52,22.5,0,,,AB,1,Excellent
Civil Engineering,6,Foundation Engineering,After Mid-1,91.3,7.35,16.4,0,5.6,,BC,1,Good
Computer Engineering,1,Engineering Graphics & Design,After Mid-2,85.0,6.72,23.6,1,6.8,12.5,BB,1,Very Good
Information Technology,7,Data Mining & Business Intelligence,After Mid-2,79.4,7.38,22.5,0,7.4,14.0,BB,1,Very Good
Civil Engineering,7,Design of Reinforced Concrete Structures,After Mid-1,83.1,7.35,24.8,1,6.3,,BC,1,Good
Mechanical Engineering,2,Mathematics-2,Before Mid-1,84.2,6.19,21.8,0,,,BC,1,Good
Electronics & Communication,7,Project-1,After Mid-2,97.3,7.76,23.9,2,8.2,16.4,BB,1,Very Good
Electrical Engineering,2,Basic Electronics,After Mid-2,84.2,6.42,23.8,0,5.4,12.3,BB,1,Very Good
Mechanical Engineering,2,Workshop Practices,After Mid-2,86.9,7.19,23.5,0,7.1,13.8,BB,1,Very Good
Mechanical Engineering,1,Physics,After Mid-1,87.6,6.85,23.3,0,6.0,,BB,1,Very Good
Mechanical Engineering,2,Programming for Problem Solving,Before Mid-1,71.1,4.91,17.8,2,,,CD,1,Average
Electrical Engineering,7,Electric Drives,After Mid-1,93.9,8.47,26.9,1,5.8,,BB,1,Very Good
Information Technology,2,Physics,Before Mid-1,92.9,7.79,22.6,0,,,BB,1,Very Good
Civil Engineering,2,Environmental Sciences,After Mid-2,75.3,4.3,14.5,1,5.7,12.2,CC,1,Average
Information Technology,1,Basic Electrical Engineering,Before Mid-1,100.0,9.08,35.0,0,,,AA,1,Excellent
Information Technology,6,Cyber Security & Laws,After Mid-1,74.3,8.12,26.2,0,8.4,,AB,1,Excellent
Civil Engineering,7,Design of Reinforced Concrete Structures,After Mid-1,77.9,8.62,27.0,0,7.4,,AB,1,Excellent
Information Technology,2,Basic Electronics,Before Mid-1,91.6,6.83,19.9,1,,,CC,1,Average
Electronics & Communication,7,Microwave Engineering,After Mid-2,84.3,7.63,21.0,0,6.7,13.8,BB,1,Very Good
Information Technology,2,Programming for Problem Solving,After Mid-1,81.7,6.66,19.7,0,6.0,,BB,1,Very Good
Electrical Engineering,5,Electrical Machines-2,Before Mid-1,85.8,7.68,25.1,2,,,BC,1,Good
Computer Engineering,6,Agile Software Development,After Mid-2,84.6,7.39,20.3,0,9.6,18.4,AA,1,Excellent
Information Technology,3,Digital Electronics,After Mid-2,92.0,6.87,20.5,0,7.5,10.8,BB,1,Very Good
Information Technology,4,Operating System Concepts,After Mid-1,71.6,5.64,18.7,0,4.5,,CC,1,Average
Computer Engineering,3,Digital Fundamentals,After Mid-2,77.6,6.77,21.1,0,5.5,9.1,BC,1,Good
Computer Engineering,1,Physics,After Mid-1,98.7,9.67,25.5,0,8.8,,AA,1,Excellent
Civil Engineering,3,Fluid Mechanics,Before Mid-1,83.9,5.36,17.1,4,,,FF,0,At Risk
Computer Engineering,4,Object Oriented Programming - C++,After Mid-1,72.5,7.41,21.4,0,9.2,,AB,1,Excellent
Electronics & Communication,6,VLSI Design,After Mid-1,99.2,8.53,33.0,0,6.4,,AB,1,Excellent
Information Technology,7,Mobile Application Development,Before Mid-1,78.8,7.41,23.1,0,,,BB,1,Very Good
Information Technology,4,Database Management Systems,Before Mid-1,92.5,5.97,18.5,0,,,BC,1,Good
Electronics & Communication,7,Satellite Communication,Before Mid-1,100.0,8.23,22.4,0,,,AB,1,Excellent
Mechanical Engineering,6,Computer Aided Design (CAD),Before Mid-1,85.1,7.28,17.4,0,,,BC,1,Good
Computer Engineering,6,Data Analysis & Visualization,After Mid-1,74.4,6.15,27.0,1,6.5,,BC,1,Good
Civil Engineering,7,Design of Reinforced Concrete Structures,After Mid-2,62.1,5.51,17.7,0,5.7,10.4,CC,1,Average
Mechanical Engineering,6,Design of Machine Elements,Before Mid-1,85.7,9.6,30.3,0,,,AA,1,Excellent
Computer Engineering,8,Project-2,After Mid-1,81.1,6.84,16.0,0,7.4,,BB,1,Very Good
Information Technology,1,Environmental Sciences,After Mid-2,80.9,8.17,19.3,0,8.6,17.7,AB,1,Excellent
Information Technology,8,Project-2,After Mid-2,85.0,7.39,19.5,0,6.8,13.4,BB,1,Very Good
Computer Engineering,8,Internet of Things,After Mid-1,80.2,7.77,19.5,0,6.5,,BB,1,Very Good
Civil Engineering,3,Mechanics of Solids,After Mid-2,74.6,6.3,12.6,2,5.1,10.2,CD,1,Average
Information Technology,2,Physics,Before Mid-1,65.7,5.85,19.0,0,,,CC,1,Average
Computer Engineering,2,Workshop/Manufacturing Practices,Before Mid-1,85.8,7.96,23.6,0,,,AA,1,Excellent
Information Technology,2,Physics,After Mid-2,66.2,4.0,13.1,1,1.5,3.0,FF,0,At Risk
Civil Engineering,8,Earthquake Engineering,After Mid-1,80.3,7.22,22.3,1,5.7,,BC,1,Good
Electrical Engineering,6,Electrical Switchgear & Protection,Before Mid-1,76.0,6.88,22.0,0,,,BC,1,Good
Mechanical Engineering,2,Mathematics-2,After Mid-1,85.6,8.5,25.5,0,8.9,,AB,1,Excellent
Electrical Engineering,2,Mathematics-2,After Mid-2,81.3,8.24,23.5,0,7.6,14.7,AB,1,Excellent
Civil Engineering,1,Mathematics-1,After Mid-1,79.9,6.05,18.0,2,6.5,,CC,1,Average
Mechanical Engineering,8,Automobile Engineering,Before Mid-1,70.5,6.46,20.0,2,,,CC,1,Average
Electrical Engineering,6,Power Electronics-1,After Mid-1,86.3,6.17,24.8,4,3.9,,DD,1,At Risk
Mechanical Engineering,7,Refrigeration & Air Conditioning,After Mid-2,89.3,10.0,25.7,0,8.1,12.9,AB,1,Excellent
Information Technology,8,Big Data Analytics,After Mid-2,77.5,6.05,22.4,2,5.1,8.7,CC,1,Average
Computer Engineering,8,Internet of Things,After Mid-2,78.2,5.4,18.8,1,4.1,8.8,CC,1,Average
Electronics & Communication,3,Digital Electronics,After Mid-2,79.9,6.69,28.1,0,7.0,17.8,AB,1,Excellent
Electrical Engineering,6,Power Electronics-1,After Mid-1,86.9,5.15,13.2,2,5.7,,CD,1,Average
